DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,ACTIVE_START,24,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,CAMPAIGN_UPDATED_AT,22,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,HAS_CONSUMER_DISCOUNT,11,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,IS_DELIVERY,14,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,CAMPAIGN_ID_RN,26,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,PROMOTION_ID,2,TEXT,16777216,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,IS_ACTIVE_ROW,27,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,IS_CUSTOM_AUDIENCE,16,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,TARGET_TYPE,4,TEXT,16777216,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,IS_PICKUP,13,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,PERCENT_OFF,6,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,IS_NEW_STORE_CONSUMERS,17,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,MINIMUM_ORDER_CART_SUBTOTAL,10,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,VALUE_TYPE,5,TEXT,16777216,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,CURRENCY,12,TEXT,16777216,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,CAMPAIGN_ID,1,TEXT,16777216,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,MAXIMUM_INCENTIVE_DISCOUNT,9,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,IS_BOTH_CX_MX_DASHPASS,20,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,INCENTIVE_LEVEL,21,TEXT,16777216,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,FLAT_AMOUNT_OFF,7,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,PROMO_INCENTIVE_ID,3,TEXT,16777216,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,IS_DASHPASS,19,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_INCENTIVE_HISTORY,SET_SPECIFIC_VALUE,8,NUMBER,,,,,
