,DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
0,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,BUSINESS_ID,8,NUMBER,,,,,
1,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,CAMPAIGN_ID,5,TEXT,16777216,,,,
2,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,DD_DEVICE_ID,2,TEXT,16777216,,,,
3,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,PLATFORM,13,TEXT,16777216,,,,
4,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,ATTRIBUTION_METHOD,11,TEXT,16777216,,,,
5,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,SUB_PRODUCT_TYPE,18,TEXT,16777216,,,,
6,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,ACTIVE_DATE,10,DATE,,,,,
7,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,ADVERTISER_TYPE,19,TEXT,16777216,,,,
8,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,EVENT_TIMESTAMP_PST,14,TIMESTAMP_NTZ,,,,,
9,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,EVENT_DATE_PST,15,DATE,,,,,
10,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,CREATED_AT,9,TIMESTAMP_NTZ,,,,,
11,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,FEATURE,12,TEXT,16777216,,,,
12,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,PAYMENT_METHOD,23,TEXT,16777216,,,,
13,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,CONSUMER_ID,4,NUMBER,,,,,
14,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,CURRENCY,22,TEXT,16777216,,,,
15,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,DD_SESSION_ID,3,TEXT,16777216,,,,
16,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,SUBTOTAL,7,FLOAT,,,,,
17,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,ADS_FEE,21,TEXT,16777216,,,,
18,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,CLICK_ID,16,TEXT,16777216,,,,
19,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,INVOICE_ID,20,TEXT,16777216,,,,
20,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,DELIVERY_ID,6,NUMBER,,,,,
21,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,MINUTE_LAG,25,NUMBER,,,,,
22,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,HOUR_LAG,26,NUMBER,,,,,
23,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,SUBMIT_PLATFORM,1,TEXT,16777216,,,,
24,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,IS_MERCHANT_FUNDED,24,BOOLEAN,,,,,
25,postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_ATTRIBUTIONS,PRODUCT_TYPE,17,TEXT,16777216,,,,
