DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,EVENT_TYPE,7,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,VERTICAL,16,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,VERTICAL_AGG,17,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,INVOICE_ID,18,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,FEATURE,6,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,EVENT_DATE_PST,14,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,EVENT_DATE,13,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,PLATFORM,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,CARD_POSITION,8,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,CONSUMER_ID,5,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,DD_SESSION_ID,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,IS_MERCHANT_FUNDED,19,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,DD_DEVICE_ID,2,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,EVENT_TIMESTAMP,11,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,ID,15,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,APP_VERSION,10,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,SOURCE,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,CAMPAIGN_ID,4,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_BANNER_EVENTS,EVENT_TIMESTAMP_PST,12,TIMESTAMP_NTZ,,,,,
