DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,ADS_PROMOTION_NET_REVENUE_ADJ,46,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,FUNDING_SOURCE,5,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,PROMOTION_NET_REVENUE,35,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,SL_NET_REVENUE_ADJ,42,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,SS_ADS_FEE,33,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,STORE_SALES,9,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,PAID_SL_ATTACH_STORE_ORDERS,12,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,SP_NET_REVENUE,38,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,GOV,10,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,SL_NET_REVENUE,36,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,ADS_FEE_BANNER,23,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,ADS_NET_REVENUE_ADJ,45,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,MANAGEMENT_TYPE,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,PAID_ADS_ATTACH_STORE_ORDERS,14,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,PAID_SS_SL_ATTACH_STORE_ORDERS,17,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,PROMOTION_FEE,21,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,PROMOTION_NET_REVENUE_ADJ,41,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_DAILY_METRICS,BANNER_NET_REVENUE_ADJ,43,FLOAT,,,,,
