DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,MANUAL_INVOICE_ID,6,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,AUTOMATED_INVOICE_ID,7,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,MANAGEMENT_TYPE,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,PRODUCT,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,CAMPAIGN_START_TIME,14,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,PRODUCT_TYPE,10,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,STORE_GROUP,4,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,INVOICE_ID,8,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,CURRENCY,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,CAMPAIGN_NAME,2,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,CAMPAIGN_END_TIME,15,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,IS_ONE_TIME_FEE,16,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,MARKETING_FEE,11,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,CAMPAIGN_ID,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,FUNDING_SOURCE,5,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_INVOICE,SOURCE,13,TEXT,16777216.0,,,,
