DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,CLICK_EVENT_ID,27,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,CONSUMER_ID,16,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,IMPRESSION_TIMESTAMP,26,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,IS_CONVERTED,31,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,CLICK_TIMESTAMP,28,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,ITEM_ID,6,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,DD_SESSION_ID,17,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,DD_SIC,7,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,PRODUCT_SURFACE,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,TRUE_BID,22,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,AD_QUALITY_SCORE,23,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,BID_PRICE_UNIT_AMOUNT,20,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,CPC_AMOUNT,33,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,AUCTION_ID,2,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,CAMPAIGN_ID,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,EXPECTED_VALUE,21,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,AD_REQUEST_ID,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,UPC,8,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,IS_CPC,32,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,AUCTION_WINNER,24,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,DELIVERY_ID,29,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,ORDER_CREATION_TIMESTAMP,30,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,IMPRESSION_EVENT_ID,25,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,STORE_ID,5,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,DD_DEVICE_ID,18,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,FLOOR_PRICE_UNIT_AMOUNT,19,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,AD_GROUP_ID,4,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,AUCTION_OCCURRED_AT,15,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,NORMALIZED_QUERY,14,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,BUSINESS_MERCHANT_SUPPLIED_ID,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,CARD_POSITION,13,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,PLACEMENT,10,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_REQUEST_FUNNEL,FEATURE_ID,11,TEXT,16777216.0,,,,
