DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,CAMPAIGN_ID,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,CLICK_TIMESTAMP,18,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,STORE_ID,4,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,ITEM_ID,5,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,PRODUCT_SURFACE,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,MENU_ID,6,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,FEATURE_ID,13,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,SUBTOTAL,25,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,IS_ATC,21,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,CPC_AMOUNT,22,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,AUCTION_ID,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,IS_CLICKED,16,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,IS_CONVERTED,19,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,AD_GROUP_ID,2,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,DD_DEVICE_ID,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,IMPRESSION_TIMESTAMP,15,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,DELIVERY_ID,23,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,IMPRESSION_EVENT_ID,14,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,ORDER_CREATION_TIMESTAMP,24,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,CARD_POSITION,11,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,DD_SESSION_ID,8,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,PLATFORM,10,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,CLICK_EVENT_ID,17,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,IS_CPC,20,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_ITEM_VIEW_TO_CONVERSION,CONSUMER_ID,7,NUMBER,,,,,
