DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,IMPRESSION_TIMESTAMP,23,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,AD_GROUP_ID,13,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,AD_REQUEST_TIMESTAMP,7,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,BID_PRICE_UNIT_AMOUNT,16,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,AD_REQUEST_ID,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,BID_MODIFIER_MULTIPLIER,18,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,FLOOR_PRICE_UNIT_AMOUNT,15,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,CAMPAIGN_ID,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,AUCTION_OCCURRED_AT,10,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,CLICK_EVENT_ID,24,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,RAW_QUERY,8,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,TRUE_BID,19,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,AD_QUALITY_SCORE,20,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,AUCTION_ID,11,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,CONSUMER_ID,2,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,EXPECTED_VALUE,17,FLOAT,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,PRODUCT_SURFACE,6,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,CLICK_TIMESTAMP,25,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,SUBMARKET_ID,5,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,DD_SESSION_ID,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,AUCTION_WINNER,21,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,DD_DEVICE_ID,4,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,NORMALIZED_QUERY,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,STORE_ID,14,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,DELIVERY_ID,26,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,IMPRESSION_EVENT_ID,22,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_REQUEST_FUNNEL,IS_CONVERTED,27,NUMBER,,,,,
