DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,KEYWORD,4,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,PRIMARY_CATEGORY_NAME,14,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,CAMPAIGN_END_TIME,8,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,TOTAL_CPA,23,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,ORDERS,20,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,AVERAGE_POSITION,17,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,CAMPAIGN_NAME,6,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,TOTAL_CX,24,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,ORDERS_PICKUP,31,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,PRODUCT_SURFACE,15,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,CLICKS,19,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,CURRENCY,16,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,BUSINESS_ID,11,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,STORE_NAME,13,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,BID_PRICE,30,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,BUSINESS_GROUP_ID,10,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,CAMPAIGN_ID,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,CAMPAIGN_START_TIME,7,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,EXISTING_CX,26,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,ORDERS_CLASSIC,33,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,SALES,21,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,AOV,29,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,KEYWORD_FLAG,5,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,NEW_DASHPASS_CX,28,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,STORE_ID,3,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,BUSINESS_NAME,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,ORDERS_DASHPASS,32,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,TOTAL_COST,22,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,TOTAL_DASHPASS_CX,27,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,IMPRESSIONS,18,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,DAY,2,DATE,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,IS_SELF_SERVE_CAMPAIGN,9,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE,NEW_CX,25,NUMBER,,,,,
