,DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
0,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,DAY,1,DATE,,,,,
1,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,ROAS,18,NUMBER,,,,,
2,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,CAMPAIGN_ID,3,TEXT,16777216,,,,
3,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,CAMPAIGN_END_DATE,6,DATE,,,,,
4,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,CAMPAIGN_START_DATE,5,DATE,,,,,
5,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,IMPRESSIONS,11,NUMBER,,,,,
6,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,TOTAL_CX_ACQUIRED,21,NUMBER,,,,,
7,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,STORE_NAME,9,TEXT,16777216,,,,
8,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,AVERAGE_ORDER_VALUE,16,NUMBER,,,,,
9,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,AD_FEES,15,NUMBER,,,,,
10,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,CAMPAIGN_NAME,4,TEXT,16777216,,,,
11,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,CLICKS,12,NUMBER,,,,,
12,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,CURRENCY,10,TEXT,16777216,,,,
13,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,IS_SELF_SERVE_CAMPAIGN,2,BOOLEAN,,,,,
14,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,AVERAGE_CPA,17,NUMBER,,,,,
15,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,EXISTING_CX_ACQUIRED,20,NUMBER,,,,,
16,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,STORE_ID,7,NUMBER,,,,,
17,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,BUSINESS_ID,8,TEXT,16777216,,,,
18,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,NEW_CX_ACQUIRED,19,NUMBER,,,,,
19,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,SALES,14,NUMBER,,,,,
20,postgresql,PRODDB,PUBLIC,FACT_ADS_SL_PERFORMANCE_AGG,ORDERS,13,NUMBER,,,,,
