DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,CX_REORDERED_60,21,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,CX_REORDERED_SINCE_RATE,27,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_SALE_30,12,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,CX_REORDERED_90_RATE,26,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,DELIVERIES,7,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,CX_REORDERED_30_RATE,24,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_DELIV_30,8,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_SALE_SINCE,15,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,CXS,5,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_RATE_SINCE,19,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,AOV,28,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,BUSINESS_ID,2,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,CAMPAIGN_ID,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_RATE_60,17,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_DELIV_SINCE,11,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,SALES,6,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,STORE_ID,3,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,CX_REORDERED_90,22,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_DELIV_60,9,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,CX_REORDERED_SINCE,23,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_SALE_60,13,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_RATE_90,18,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_SALE_90,14,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_DELIV_90,10,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,REORDER_RATE_30,16,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,CX_REORDERED_30,20,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,ACTIVE_DATE,4,DATE,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_SL_RETENTION,CX_REORDERED_60_RATE,25,NUMBER,,,,,
