DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,DELIVERY_FEE,22,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,CLICK_TIMESTAMP,17,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,TERM_CATEGORY,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,AD_GROUP_ID,2,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,DELIVERY_ID,19,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,IS_CLICKED,15,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,IS_CONVERTED,18,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,AUCTION_ID,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,IMPRESSION_TIMESTAMP,14,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,CAMPAIGN_ID,1,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,CLICK_EVENT_ID,16,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,PLATFORM,8,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,SEARCH_TERM,11,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,CONSUMER_ID,5,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,IMPRESSION_EVENT_ID,13,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,DD_DEVICE_ID,7,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,PRICE_UNIT_AMOUNT,21,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,STORE_ID,4,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,CARD_POSITION,9,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,DD_SESSION_ID,6,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,ETA,23,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,ORDER_CREATION_TIMESTAMP,20,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ADS_STORE_VIEW_TO_CONVERSION,PRODUCT_SURFACE,10,TEXT,16777216.0,,,,
