DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,BID_PRICE,27,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,MEMBERSHIP_END_TIME,50,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,IS_CUSTOM_AUDIENCE,56,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,MEMBERSHIP_TYPE,17,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,SALESFORCE_OPPORTUNITY,36,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,AD_GROUP_TYPE,16,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,CAMPAIGN_DESCRIPTION,8,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,CAMPAIGN_NAME,7,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,DAILY_CAMPAIGN_BUDGET,24,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,IS_CPA_INVOICED,32,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,IS_DASHPASS,59,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,DIRECTLY_RESPONSIBLE_INDIVIDUAL,39,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,IS_NEW_STORE_CONSUMERS,57,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,BUDGET_AMOUNT_PER_PERIOD,29,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_AD_GROUP_MEMBERSHIP,TOTAL_PLACEMENT_FEE_SFDC_OPP_LI_ID,38,TEXT,16777216.0,,,,
