,DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
0,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,CAMPAIGN_DESCRIPTION,3,TEXT,16777216,,,,
1,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,FUNDING_SOURCE,12,TEXT,16777216,,,,
2,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,IS_PROMO_APPLY_BY_CODE,31,BOOLEAN,,,,,
3,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,WEEKLY_CAMPAIGN_BUDGET,64,NUMBER,,,,,
4,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,SORT_ORDER,23,NUMBER,,,,,
5,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,TOTAL_PLACEMENT_FEE,38,NUMBER,,,,,
6,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,ATTRIBUTION_CHANNEL,43,TEXT,16777216,,,,
7,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,CREATED_BY_STAFF,44,BOOLEAN,,,,,
8,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,CURRENCY,9,TEXT,16777216,,,,
9,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,IS_ACTIVE_ROW,59,NUMBER,,,,,
10,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,IS_APPLY_BY_AUTO,33,BOOLEAN,,,,,
11,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,CAMPAIGN_CREATED_BY_ID,6,NUMBER,,,,,
12,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,DEACTIVATED_AT,51,TIMESTAMP_NTZ,,,,,
13,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,MAX_REDEMPTION_COUNT,21,NUMBER,,,,,
14,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,OVERRIDES,13,ARRAY,,,,,
15,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,STORE_PROMOTION_MEMBERSHIP_ID,46,NUMBER,,,,,
16,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,VERTICAL,42,TEXT,16777216,,,,
17,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,UPDATED_BY_SOURCE,50,TEXT,16777216,,,,
18,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,IS_ACTIVE,18,BOOLEAN,,,,,
19,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,PROMO_MAX_NUMBER_CLAIMS,29,NUMBER,,,,,
20,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,SALESFORCE_OPPORTUNITY,36,TEXT,16777216,,,,
21,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,IS_INVOICED,34,BOOLEAN,,,,,
22,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,SALESFORCE_OPPORTUNITY_LINE_ITEM_ID,37,TEXT,16777216,,,,
23,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,CAMPAIGN_CREATED_BY_EMAIL,7,TEXT,16777216,,,,
24,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,MONTHLY_CAMPAIGN_BUDGET,65,NUMBER,,,,,
25,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,PERCENTAGE_FEE,10,NUMBER,,,,,
26,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,NETSUITE_ENTITY_ID,35,TEXT,16777216,,,,
27,postgresql,PRODDB,PUBLIC,FACT_CAMPAIGN_STORE_MEMBERSHIP_PROMOTION,IS_APPLY_BY_CLICK,32,BOOLEAN,,,,,
