DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,COLLECTION_TYPE,66,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,ITEM_UPC,17,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,SUBMARKET_ID,5,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,CONVERSION,22,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,STORE_ID,12,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,AD_AUCTION_ID,42,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,APP_VERSION,10,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,ITEM_PAGE_ADD,52,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,AUTOCOMPLETE_TERM,49,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,BUSINESS_ID,11,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,CANCELLED_ORDER,23,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,COUNTRY_CODE,47,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,DELIVERY_ID,21,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,ITEM_COLLECTION_NAME,30,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,ITEM_ID,14,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,FEATURE,54,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,RECEIVED_AT,1,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,AD_BADGE,35,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_CLICK_DEDUP,HAS_STRIKE_THROUGH_PRICE,61,BOOLEAN,,,,,
