,DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
0,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,EVENT_TIMESTAMP,4,TIMESTAMP_NTZ,,,,,
1,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,ITEM_COLLECTION_POSITION,22,NUMBER,,,,,
2,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,CONTAINER_ID,33,TEXT,16777216,,,,
3,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,L2_CATEGORY_ID,26,TEXT,16777216,,,,
4,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,AUTOCOMPLETE_TERM,43,TEXT,16777216,,,,
5,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,FEATURE,45,TEXT,16777216,,,,
6,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,MEMBER_PRICE,50,NUMBER,,,,,
7,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,SEARCH_TERM_CLEAN,20,TEXT,16777216,,,,
8,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,BUSINESS_ID,11,NUMBER,,,,,
9,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,APP_VERSION,10,TEXT,16777216,,,,
10,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,BUSINESS_VERTICAL_ID,39,NUMBER,,,,,
11,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,CARD_POSITION,21,NUMBER,,,,,
12,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,EVENT_DATE_AS_PST,3,TIMESTAMP_NTZ,,,,,
13,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,IS_DISCOUNTED_ITEM,31,BOOLEAN,,,,,
14,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,ACTUAL_PRICE,47,NUMBER,,,,,
15,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,AD_AUCTION_ID,36,TEXT,16777216,,,,
16,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,NON_DISCOUNT_PRICE,48,NUMBER,,,,,
17,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,RECEIVED_AT,1,TIMESTAMP_NTZ,,,,,
18,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,STORE_ID,12,NUMBER,,,,,
19,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,DD_SESSION_ID,7,TEXT,16777216,,,,
20,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,CAMPAIGN_ID,32,TEXT,16777216,,,,
21,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,ITEM_NAME,15,TEXT,16777216,,,,
22,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,FEATURE_DETAILED,44,TEXT,16777216,,,,
23,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,CNG_BUSINESS_LINE,38,TEXT,16777216,,,,
24,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,EVENT_DATE,2,TIMESTAMP_NTZ,,,,,
25,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,AD_GROUP_ID,35,TEXT,16777216,,,,
26,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,COUNTRY_CODE,41,TEXT,16777216,,,,
27,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,L2_CATEGORY_NAME,28,TEXT,16777216,,,,
28,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,COLLECTION_TYPE,53,TEXT,16777216,,,,
29,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,IS_LOYALTY_MEMBER,51,BOOLEAN,,,,,
30,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,CONSUMER_ID,8,NUMBER,,,,,
31,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,ITEM_COLLECTION_NAME,24,TEXT,16777216,,,,
32,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,ITEM_ID,14,NUMBER,,,,,
33,postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW,ITEM_UPC,17,TEXT,16777216,,,,
