DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,BUSINESS_ID,11,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,BUSINESS_MERCHANT_SUPPLIED_ID,16,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,DD_DEVICE_ID,6,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,ID,46,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,PICK_MODEL,40,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,CAMPAIGN_ID,32,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,MEMBER_PRICE,50,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,ITEM_NAME,15,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,ITEM_ID,14,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,CARD_POSITION,21,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,CONSUMER_ID,8,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,L1_CATEGORY_ID,25,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,ITEM_COLLECTION_ID,23,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,SUBMARKET_ID,5,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,BUSINESS_VERTICAL_ID,39,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,DD_SESSION_ID,7,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,AD_GROUP_ID,35,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,COLLECTION_TYPE,54,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,AD_AUCTION_ID,36,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,APP_VERSION,10,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,FEATURE_DETAILED,44,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,CONTAINER_ID,33,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,L1_CATEGORY_NAME,27,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,AUTOCOMPLETE_TERM,43,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,EVENT_DATE,2,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,IS_SPONSORED,30,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,L2_CATEGORY_ID,26,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,COUNTRY_CODE,41,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,HAS_STRIKE_THROUGH_PRICE,49,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,SEARCH_TERM_CLEAN,20,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,PLATFORM,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,EVENT_DATE_AS_PST,3,TIMESTAMP_NTZ,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,ITEM_UPC,17,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,BUSINESS_NAME,13,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,STORE_ID,12,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,IS_LOYALTY_MEMBER,51,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_ITEM_CARD_VIEW_DEDUP,EVENT_TIMESTAMP,4,TIMESTAMP_NTZ,,,,,
