DBMS,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CONSTRAINT_TYPE,k2.table_schema,k2.table_name,k2.column_name
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,PROMO_TYPE,5,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,TOTAL_CX_ACQUIRED,21,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,TOTAL_DP_CX_ACQUIRED,24,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,NEW_CX_ACQUIRED,19,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,STORE_ID,10,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,CAMPAIGN_END_DATE,8,DATE,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,AVERAGE_ORDER_VALUE,17,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,CAMPAIGN_ID,2,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,CX_DISCOUNT,15,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,PROMO_FEES,16,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,DAY,1,DATE,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,EXISTING_CX_ACQUIRED,20,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,ROAS,18,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,TEMPLATE_ID,4,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,EXISTING_DP_CX_ACQUIRED,23,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,CURRENCY,12,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,ORDERS,13,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,STORE_NAME,11,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,BUSINESS_ID,9,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,CAMPAIGN_START_DATE,7,DATE,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,IS_SELF_SERVE_CAMPAIGN,6,BOOLEAN,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,NEW_DP_CX_ACQUIRED,22,NUMBER,,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,CAMPAIGN_NAME,3,TEXT,16777216.0,,,,
postgresql,PRODDB,PUBLIC,FACT_PROMO_PERFORMANCE,SALES,14,NUMBER,,,,,
